Date,Capital
2023-06-22,100000.0
2023-06-23,99464.90533887253
2023-06-26,100544.28562111525
2023-06-27,101343.30549223558
2023-06-28,103062.90157009714
2023-06-30,104050.9443542062
2023-07-03,104656.37866238737
2023-07-04,105080.12908232679
2023-07-05,105194.12149829326
2023-07-06,105937.98424449767
2023-07-07,104362.10577299273
2023-07-10,104135.84751059167
2023-07-11,104490.34165965054
2023-07-12,104292.6425378569
2023-07-13,104245.83329221525
2023-07-14,104586.29426501667
2023-07-17,105566.18022791667
2023-07-18,105193.0960326886
2023-07-19,105854.16383400669
2023-07-20,106546.04271674887
2023-07-21,105296.32838324751
2023-07-24,104972.11441783996
2023-07-25,105430.031691915
2023-07-26,106145.71779140424
2023-07-27,105051.94109311732
2023-07-28,105717.72389632706
2023-07-31,107006.11470580226
2023-08-01,106069.14507365909
2023-08-02,104841.08102871705
2023-08-03,104255.3659715992
2023-08-04,104641.0423859097
2023-08-07,105531.68994706131
2023-08-08,105764.61072136795
2023-08-09,106998.23313846554
2023-08-10,106152.27069605672
2023-08-11,105375.42429755832
2023-08-14,105319.17697439503
2023-08-16,105278.68010388191
2023-08-17,106143.42057007029
2023-08-18,105969.41177132874
2023-08-21,107197.20735286931
2023-08-22,107517.22969618524
2023-08-23,107063.199887741
2023-08-24,106495.22667513767
2023-08-25,105511.39425453031
2023-08-28,106126.42364368142
2023-08-29,107366.72094017896
2023-08-30,107472.43888205671
2023-08-31,106619.49774512037
2023-09-01,107724.94697258894
2023-09-04,108156.02113912796
2023-09-05,108986.91783556149
2023-09-06,108856.7459849513
2023-09-07,109578.97991164414
2023-09-08,109946.4609256375
2023-09-11,111144.20253295898
2023-09-12,110224.5333355258
2023-09-13,110531.07391974394
2023-09-14,111133.27083518774
2023-09-15,111052.51883571844
2023-09-18,111770.26741142868
2023-09-20,109935.99159498618
2023-09-21,109241.30150786518
2023-09-22,108974.80738463151
2023-09-25,108962.38604932028
2023-09-26,109146.75871313571
2023-09-27,109486.75346618384
2023-09-28,108223.47866469038
2023-09-29,108521.39734124076
2023-10-03,108875.46045439184
2023-10-04,107589.39250100502
2023-10-05,108188.4249109257
2023-10-06,108626.32082634083
2023-10-09,108185.22305990661
2023-10-10,110128.37495332074
2023-10-11,111608.49499244496
2023-10-12,111418.21053278212
2023-10-13,111590.64956419056
2023-10-16,111806.62572250859
2023-10-17,112035.22336844695
2023-10-18,111556.21144697844
2023-10-19,111355.53103981285
2023-10-20,110697.58229339404
2023-10-23,108843.38649248832
2023-10-25,108532.1136017484
2023-10-26,106932.41050560965
2023-10-27,108083.46107305436
2023-10-30,108433.47004186662
2023-10-31,107905.76706896533
2023-11-01,107748.04034328785
2023-11-02,108819.93418193201
2023-11-03,108954.67064450138
2023-11-06,110312.0424884456
2023-11-07,110548.37338529865
2023-11-08,111669.4811721348
2023-11-09,111917.83958225975
2023-11-10,112417.4431852737
2023-11-13,113159.3420838283
2023-11-15,114378.50076306486
2023-11-16,115431.38321537885
2023-11-17,115534.24635563862
2023-11-20,115255.42934849506
2023-11-21,116256.94950388375
2023-11-22,116597.08843424096
2023-11-23,116302.9808303207
2023-11-24,116285.08616956409
2023-11-28,117597.8276877811
2023-11-29,118763.86278550327
2023-11-30,120137.68658605371
2023-12-01,120958.01699293534
2023-12-04,122121.65174467988
2023-12-05,122497.42154021155
2023-12-06,122479.04941567774
2023-12-07,123304.60551626101
2023-12-08,123190.39398212008
2023-12-11,123493.21749299255
2023-12-12,123070.39676907564
2023-12-13,123897.2577169327
2023-12-14,126115.84048926823
2023-12-15,126078.9104402592
2023-12-18,126440.15175360248
2023-12-19,126453.21626932688
2023-12-20,122582.72448912892
2023-12-21,123816.14734027197
2023-12-22,124731.78328533865
2023-12-26,124917.78358530093
2023-12-27,126552.96998773399
2023-12-28,127943.74483972364
2023-12-29,128321.12467240645
2024-01-01,129087.47656518883
2024-01-02,128552.71407628947
2024-01-03,128581.58978862024
2024-01-04,128537.53486413063
2024-01-05,129114.77073321768
2024-01-08,128132.65508789942
2024-01-09,128275.194769749
2024-01-10,127585.55536991113
2024-01-11,128870.69256504385
2024-01-12,130875.38876145797
2024-01-15,131002.46557277229
2024-01-16,130636.97881399191
2024-01-17,130046.33947492797
2024-01-18,129524.14130502091
2024-01-19,131003.27803579535
2024-01-23,128818.8257845859
2024-01-24,130538.30546970293
2024-01-25,130154.10369717923
2024-01-29,130575.51156492655
2024-01-30,130424.77870356271
2024-01-31,132009.19488561153
2024-02-01,132154.4856455737
2024-02-02,133538.00974119754
2024-02-05,133120.55134476715
2024-02-06,134736.7601805528
2024-02-07,134887.43327188247
2024-02-08,134315.13091101602
2024-02-09,135680.02530225
2024-02-12,134099.94418808693
2024-02-13,136101.2111041588
2024-02-14,136835.4406609473
2024-02-15,137156.55240293642
2024-02-16,137472.8682006287
2024-02-19,138159.59829314664
2024-02-20,137901.38173334117
2024-02-21,136390.0454883774
2024-02-22,138479.67750398302
2024-02-23,138684.66918782186
2024-02-26,137004.92648453775
2024-02-27,137649.85115160502
2024-02-28,135677.61204145497
2024-02-29,135356.4557903301
2024-03-01,135363.17982158484
2024-03-04,135446.46344339632
2024-03-05,134805.34922799357
2024-03-06,135310.94009943106
2024-03-07,135910.93006753077
2024-03-11,135136.53818615805
2024-03-12,134231.5421985664
2024-03-13,129869.033803852
2024-03-14,133102.088238366
2024-03-15,132386.20027529972
2024-03-18,133878.53811912352
2024-03-19,131260.23391608318
2024-03-20,131021.97066803233
2024-03-21,132569.24829928175
2024-03-22,133097.1368513899
2024-03-26,133046.672515502
2024-03-27,132934.63309814245
2024-03-28,134976.05417597713
2024-04-01,135400.79863212781
2024-04-02,136264.44984824545
2024-04-03,135996.5084341757
2024-04-04,136898.5638403625
2024-04-05,136631.3739387458
